920  221982.31  125132.12  811.72  MT001
1031  221868.55  125109.95  814.84  MT002
1125  221750.99  125115.78  817.06  MT003
1202  221468.55  125169.89  826.44  MT004
1203  221634.81  125122.13  821.59  MT005
1204  221541.20  125134.38  824.08  MT006
1212  221375.68  125198.06  829.29  MT007
1234  221287.07  125226.42  829.33  MT008
1253  221188.45  125246.41  830.19  MT008
1336  221107.50  125252.76  831.04  MT009
1337  221009.73  125257.81  832.11  MT010
1363  220907.73  125259.50  835.66  MT011
1364  220828.59  125238.06  833.39  MT012
1430  220632.31  125188.24  835.92  MT013
1434  220727.26  125211.99  833.99  MT014
